name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Brusdar Graterol,Dodgers,Josh Hader,950,Gregory Soto,942,Richard Rodriguez,938
Jacob deGrom,Mets,Dylan Cease,949,Jon Gray,933,Nate Pearson,928
Javier Guerra,Padres,Codi Heuer,977,Trevor Rosenthal,971,Jose Cisnero,964
Josh Staumont,Royals,Nick Anderson,940,Drew Pomeranz,937,Seth Elledge,929
Dustin May,Dodgers,Lou Trivino,968,Tyler Chatwood,947,Colin Rea,918
Miguel Castro,- - -,Trevor May,982,Reynaldo Lopez,956,JoJo Romero,956
Aroldis Chapman,Yankees,Tanner Houck,886,Frankie Montas,867,Wilmer Font,842
Trevor Rosenthal,- - -,Codi Heuer,975,Javier Guerra,971,Evan Phillips,956
Sam Coonrod,Giants,Luis Garcia,944,Kendall Graveman,925,Brandon Bielak,915
Edwin Diaz,Mets,Peter Fairbanks,977,Victor Gonzalez,972,Austin Brice,960
Jonathan Hernandez,Rangers,Jorge Alcala,972,Kyle Cody,963,Trevor May,963
Drew Rasmussen,Brewers,Enoli Paredes,949,Lance Lynn,948,Robert Gsellman,946
Codi Heuer,White Sox,Jose Cisnero,983,Carlos Estevez,978,Javier Guerra,977
Sixto Sanchez,Marlins,Taylor Clarke,924,Jesus Luzardo,896,Patrick Sandoval,889
Alex Reyes,Cardinals,Liam Hendriks,923,Justin Dunn,920,Gerrit Cole,898
Dylan Cease,White Sox,Jon Gray,968,Logan Allen,959,Kyle Wright,957
Luis Castillo,Reds,Thomas Hatch,966,David Hale,954,Cole Sulser,950
Peter Fairbanks,Rays,Edwin Diaz,977,Victor Gonzalez,959,Geoff Hartlieb,956
Nathan Eovaldi,Red Sox,Dylan Covey,815,Casey Mize,805,Josh Lindblom,801
Dan Altavilla,- - -,Amir Garrett,974,Jordan Romano,959,Taylor Rogers,945
Gregory Soto,Tigers,Caleb Ferguson,988,Zack Britton,978,Brusdar Graterol,942
Keynan Middleton,Angels,JoJo Romero,972,Dillon Tate,968,Trevor Rogers,967
Dinelson Lamet,Padres,Giovanny Gallegos,965,Jake Newberry,958,Shaun Anderson,946
Daniel Bard,Rockies,Hector Rondon,941,Jared Hughes,939,Aaron Slegers,929
